filename, language, JavaScript, comment, blank, total
d:\APPS\Yelpey\api\controllers\authentication\emailVerification.js, JavaScript, 37, 2, 2, 41
d:\APPS\Yelpey\api\controllers\authentication\forgotPassword.js, JavaScript, 78, 0, 2, 80
d:\APPS\Yelpey\api\controllers\authentication\login.js, JavaScript, 55, 2, 3, 60
d:\APPS\Yelpey\api\controllers\authentication\register.js, JavaScript, 54, 2, 3, 59
d:\APPS\Yelpey\api\controllers\user.js, JavaScript, 74, 21, 10, 105
d:\APPS\Yelpey\api\middlewares\Joi.js, JavaScript, 29, 0, 0, 29
d:\APPS\Yelpey\api\middlewares\mails\emailVerification.js, JavaScript, 16, 0, 4, 20
d:\APPS\Yelpey\api\middlewares\mails\forgotPassword.js, JavaScript, 18, 0, 2, 20
d:\APPS\Yelpey\api\middlewares\mails\transport.js, JavaScript, 13, 1, 4, 18
d:\APPS\Yelpey\api\routes\authentication.js, JavaScript, 14, 0, 2, 16
d:\APPS\Yelpey\api\routes\router.js, JavaScript, 6, 0, 2, 8
d:\APPS\Yelpey\api\routes\user.js, JavaScript, 7, 0, 1, 8
d:\APPS\Yelpey\api\validators\forgotPasswordEmail.js, JavaScript, 5, 0, 1, 6
d:\APPS\Yelpey\api\validators\login.js, JavaScript, 6, 0, 1, 7
d:\APPS\Yelpey\api\validators\newPassword.js, JavaScript, 8, 0, 1, 9
d:\APPS\Yelpey\api\validators\register.js, JavaScript, 8, 0, 1, 9
d:\APPS\Yelpey\api\validators\schemas.js, JavaScript, 14, 0, 0, 14
d:\APPS\Yelpey\api\validators\verifyEmail.js, JavaScript, 6, 0, 1, 7
Total, -, 448, 28, 40, 516